config,sndwindow,iter,bandwidth,byteerror,packeterror
002/002,100,0,189.11174118637643,0.9395034289038401,0.4347145936174651
002/002,100,1,190.83178647598075,0.9398105122149629,0.4290134186192033
002/002,100,2,172.07707706348785,0.9473427443745814,0.485920878815268
002/002,100,3,191.74089446439396,0.939645961912399,0.4282833901133283
002/002,100,4,191.9440205640002,0.9376041475946686,0.42251268859069735
002/002,100,5,185.76614772898208,0.940664551461369,0.4447611763887923
002/002,100,6,188.52819124575672,0.9396888376954614,0.43759994437878047
002/002,100,7,186.4474529915059,0.9411570435641132,0.4416672460543697
002/002,100,8,190.45762156084467,0.9386864714157583,0.4272404922477925
002/002,100,9,190.77623852267723,0.9399402983690979,0.4302301327956616
002/002,110,0,214.55493428892626,0.9261771720060537,0.29274143085587156
002/002,110,1,217.88120167814236,0.9261528371021532,0.2880136271987763
002/002,110,2,212.73894205805829,0.9271795382857566,0.3049433358826392
002/002,110,3,216.0319689134557,0.9258434361811351,0.2918723493012584
002/002,110,4,214.360118075206,0.9271888087253377,0.29677396926927624
002/002,110,5,212.92879353454077,0.9269454596863347,0.3033094625599666
002/002,110,6,208.49124395838052,0.9282108746891505,0.3127998331363415
002/002,110,7,42.738910154256004,0.9277253354160921,0.8599040533963707
002/002,110,8,211.34103106563,0.9268678197548432,0.30522144198011536
002/002,110,9,215.03463619142087,0.9266488056197405,0.2926023778071334
002/002,120,0,210.37209983293954,0.9217111377378737,0.24574150038239584
002/002,120,1,219.6339820856838,0.9176333031271511,0.21129110755753322
002/002,120,2,217.19354068218416,0.919376145768392,0.2234234860599319
002/002,120,3,212.48517123660233,0.9221352603487076,0.23951887645136616
002/002,120,4,222.19495545291565,0.9169160028645659,0.20680664673572968
002/002,120,5,221.07552236935774,0.9172161333460029,0.21083918514913436
002/002,120,6,222.20098344220375,0.9170759179473392,0.207953834387819
002/002,120,7,208.32579110137306,0.9214005780119079,0.24650629215045539
002/002,120,8,219.3176955693002,0.9186600043107545,0.21601891121462835
002/002,120,9,217.15725709124098,0.9198663202612409,0.22331919627337826
002/002,130,0,213.2539372031994,0.9147629432718626,0.1706876173260099
002/002,130,1,213.72265399575804,0.9142866744383852,0.17388583744698605
002/002,130,2,213.53363581663913,0.9147953898103963,0.17259959674615866
002/002,130,3,215.1316439254043,0.9144547011557921,0.16707223805881943
002/002,130,4,197.6439305224453,0.9223218279452766,0.23413057081276512
002/002,130,5,213.3654526706834,0.9153261224764125,0.17419870680664673
002/002,130,6,212.16888651768707,0.9154489558008617,0.18066467357296812
002/002,130,7,214.00100871041568,0.9145427703318122,0.17447681290412287
002/002,130,8,209.49542833743322,0.9157664683565133,0.18782590558297996
002/002,130,9,39.6761172289366,0.9129517311387113,0.8460335117847458
002/002,140,0,67.3807177507639,0.9096804247715417,0.7170618090801641
002/002,140,1,47.613147551585776,0.9100280662558317,0.8013974831398178
002/002,140,2,211.18880963169713,0.9093130836031418,0.12076757282903428
002/002,140,3,212.13578539307036,0.907515777129362,0.11725648334839744
002/002,140,4,207.90873096274106,0.9111196605165025,0.1355419592574567
002/002,140,5,209.88460773814796,0.9094602518314913,0.1265382743516652
002/002,140,6,86.22928505517721,0.9092516669409172,0.6410345546826114
002/002,140,7,154.21707718971427,0.9091044987125677,0.3593826044636028
002/002,140,8,213.0583463551006,0.9086618352225717,0.11537926719043312
002/002,140,9,208.2666408888103,0.9091705505945828,0.11871654036014745
002/002,150,0,204.03741035355299,0.9054357222483597,0.08673433915038586
002/002,150,1,199.18895214632587,0.9081206733120267,0.10206493777376069
002/002,150,2,203.0919750938654,0.9074195963187084,0.093652228325106
002/002,150,3,204.7265330483827,0.9054554219324695,0.08343182924285619
002/002,150,4,114.22582009680171,0.9053580823168683,0.49057915594799417
002/002,150,5,203.53268248730353,0.9066976608363327,0.09066258777723701
002/002,150,6,203.45450158583512,0.9039733104044461,0.08541333518737393
002/002,150,7,202.9900071384961,0.9059768841589046,0.08923729402767155
002/002,150,8,206.0014763491214,0.9044403087983425,0.08322324966974903
002/002,150,9,48.614059126336734,0.9051958496241995,0.7843634846694014
002/002,160,0,91.29342163817701,0.9023938592608215,0.5635472432733087
002/002,160,1,197.23278709662924,0.9028643340695608,0.06413821873044567
002/002,160,2,195.663704884596,0.9034333072988489,0.07157755683793365
002/002,160,3,189.69387686636193,0.9042514235918782,0.08270180073698119
002/002,160,4,192.9408964908468,0.9043580336470605,0.07932976430508243
002/002,160,5,195.28864528813355,0.9035758403074078,0.0713689772648265
002/002,160,6,36.84791709643365,0.9035144236451832,0.8240631300841271
002/002,160,7,195.82266501353564,0.9045921122464824,0.0720990057707015
002/002,160,8,195.6508408951769,0.9034761830819112,0.06827504693040398
002/002,160,9,194.56761659282813,0.9025387098792756,0.07140374052701104
002/002,170,0,186.11227065250648,0.9029906438088529,0.05197107696586245
002/002,170,1,187.60758500075738,0.9021783215405617,0.05280539525829109
002/002,170,2,187.53115579286882,0.9020566470210601,0.05447403184314814
002/002,170,3,188.26870062172134,0.9023845888212404,0.05131057498435654
002/002,170,4,168.26843573263363,0.9115379891025983,0.15104637419175415
002/002,170,5,185.97711061469988,0.9023498246728114,0.054856427727177914
002/002,170,6,187.43523976345384,0.9021250165129705,0.04981575471042199
002/002,170,7,187.67961714851023,0.9019233844520822,0.05603837864145167
002/002,170,8,188.16387631087477,0.9023440306480732,0.05047625669192801
002/002,170,9,104.88275212341573,0.9024193529696695,0.47159841479524434
002/002,180,0,179.975706961311,0.9005629474435604,0.03987346172564832
002/002,180,1,181.0758974818004,0.9006174112760992,0.03890009038448172
002/002,180,2,179.10136085127135,0.9004435905339542,0.03994298825001741
002/002,180,3,180.70704871257132,0.8999151754778332,0.03737050684836263
002/002,180,4,179.9740111137881,0.8997842305187507,0.03657095181811865
002/002,180,5,180.4429607050144,0.9016927822675032,0.04022109434749355
002/002,180,6,132.8907840664884,0.8990854711353276,0.2911770840575679
002/002,180,7,178.9366627708352,0.9012362131181355,0.040568726969338775
002/002,180,8,181.0034812630743,0.8991492054074474,0.03625808245845785
002/002,180,9,83.3052909673016,0.9010392162770378,0.5536397135507196
002/002,190,0,172.34171833827003,0.8955708157291549,0.028783981088785326
002/002,190,1,172.36935117082237,0.8974527149641118,0.03139122575262465
002/002,190,2,171.81445987336417,0.8993392494188593,0.03159980532573181
