config,evic,iter,bandwidth,byteerror,packeterror
003/003,10,0,219.79535904764379,0.9341652089021919,0.0355284673702988
003/003,10,1,222.30333626640703,0.9287983230340002,0.03731232347257318
003/003,10,2,215.86982572239882,0.9359293929918282,0.06540805708339525
003/003,10,3,223.4132581100141,0.9338728300783476,0.03850156087408951
003/003,10,4,222.16888949840575,0.9345021878856056,0.03671770477181502
003/003,10,5,223.8300109286594,0.9337439851729248,0.03790694217333135
003/003,10,6,223.49116802256583,0.9347450109765948,0.03419057529359293
003/003,10,7,223.14546861121457,0.9316527332464456,0.03523115801991972
003/003,10,8,223.08624613733508,0.9318806896175784,0.04415043853129186
003/003,10,9,223.267364761753,0.93229695777356,0.035082503344730176
003/003,6,0,200.92365213879535,0.9488931727066846,0.23576631485060207
003/003,6,1,170.45564627062885,0.9550727725936975,0.3460680838412368
003/003,6,2,203.12536790964532,0.9477831242907335,0.23056340121896834
003/003,6,3,205.55230652688428,0.9478971024763,0.22149546603240677
003/003,6,4,205.25027096394933,0.9474411897340344,0.224914523561766
003/003,6,5,200.88581001986512,0.9464153860639368,0.23383380407313814
003/003,6,6,204.3017949737585,0.9476988795448802,0.22863089044150442
003/003,6,7,202.9784199018626,0.9454936494328346,0.22580645161290325
003/003,6,8,194.737319590882,0.9502262219204829,0.26609186858926714
003/003,6,9,202.68871186400946,0.9463757414776528,0.22877954511669396
003/003,7,0,222.16556243506852,0.9403844533754887,0.13215400624349638
003/003,7,1,223.38805861395858,0.9411377005148841,0.1340865170209603
003/003,7,2,224.80855695598828,0.9394329833046736,0.1311134235171696
003/003,7,3,224.22531474080208,0.9410485001957452,0.12903225806451613
003/003,7,4,220.77672883567428,0.9416629912831466,0.14478965363460683
003/003,7,5,223.61540131556396,0.9402556084700658,0.12724840196224174
003/003,7,6,222.47485654742297,0.941167433954597,0.1398840493533522
003/003,7,7,224.98412641746629,0.9403497643624903,0.1256132005351568
003/003,7,8,222.81922822021397,0.9401961415906399,0.130370150141222
003/003,7,9,221.88861214416502,0.9376241990554677,0.12992418611565337
003/003,8,0,234.28797696717157,0.9352851684647139,0.058867251375055774
003/003,8,1,232.49069078664388,0.9348936781751597,0.06258361825479408
003/003,8,2,235.15471904479787,0.9358600149658314,0.053961647093801135
003/003,8,3,231.25704414247255,0.9358401926726894,0.06867845993756505
003/003,8,4,232.0202888079593,0.9360780601903931,0.057975323323918526
003/003,8,5,228.6152769840175,0.936836262903074,0.08027352460234871
003/003,8,6,231.0193874230119,0.9354189689434222,0.06436747435706858
003/003,8,7,235.47577448709077,0.935617191874842,0.057678013973539444
003/003,8,8,229.38758643082215,0.9363109721348114,0.0758138843466627
003/003,8,9,231.1156093930022,0.9359393041383992,0.06763787721123826
003/003,9,0,228.8118760374744,0.9357113477672665,0.0410286903523116
003/003,9,1,230.79556883920992,0.9353545464907108,0.03805559684852089
003/003,9,2,231.2669798556555,0.9343683874068972,0.04206927307863828
003/003,9,3,233.58541281955235,0.9325744698775478,0.03285268321688717
003/003,9,4,232.2896368520712,0.9337786741859232,0.03894752489965814
003/003,9,5,231.1805203707567,0.9294177696946871,0.03909617957484768
003/003,9,6,230.51662492112962,0.9341453866090499,0.04415043853129186
003/003,9,7,230.11763701796562,0.9133270232366831,0.03805559684852089
003/003,9,8,228.92096997740157,0.9341453866090499,0.04979931618849409
003/003,9,9,230.3140960558562,0.9353149019044268,0.041177345027501144
