config,evic,iter,bandwidth,byteerror,packeterror
003/003,10,0,224.38534848953918,0.9281986986664552,0.03389326594321396
003/003,10,1,222.9234916123273,0.9355279915557031,0.04474505723204991
003/003,10,2,221.12852513106535,0.9332434722710897,0.047569496060651084
003/003,10,3,215.1577350871107,0.9353545464907108,0.07492195629552545
003/003,10,4,223.0910446113074,0.9342593647946162,0.03894752489965814
003/003,10,5,218.14757305499654,0.9314693770348823,0.03582577672067788
003/003,10,6,215.4003652260528,0.9354288800899933,0.07417868291957785
003/003,10,7,219.72592884349623,0.9233075478336712,0.04355581983053369
003/003,10,8,223.13446367623868,0.9336498292805003,0.03656905009662559
003/003,10,9,223.31117684241795,0.9329015377143905,0.03894752489965814
003/003,11,0,209.6622311841374,0.9362961054149549,0.06332689163074179
003/003,11,1,216.66595707015819,0.928416743891017,0.04177196372825931
003/003,11,2,215.27695409797178,0.9304287066449282,0.04667756800951395
003/003,11,3,214.5001764200706,0.9324505805454104,0.04206927307863828
003/003,11,4,215.43529191370547,0.9110821485383537,0.042663891779396446
003/003,11,5,214.6871863499498,0.9277972972303301,0.04608294930875578
003/003,11,6,214.56904070496003,0.9329808268869584,0.04548833060799762
003/003,11,7,216.82719845225913,0.9346904996704544,0.04147465437788023
003/003,11,8,214.9147190286642,0.9330105603266714,0.04221792775382782
003/003,11,9,215.97524800704127,0.9336845182934987,0.0442990932064814
003/003,6,0,203.91489450562642,0.9473123448286115,0.22580645161290325
003/003,6,1,206.26058442472709,0.9469951881383398,0.22327932213468116
003/003,6,2,200.14207859410345,0.9497207534453623,0.24334770328526834
003/003,6,3,202.9835408477178,0.9477038351181657,0.2326445666716218
003/003,6,4,197.42443867625127,0.9492103293969563,0.2417125018581835
003/003,6,5,203.51979197669138,0.9473321671217535,0.2274416530399881
003/003,6,6,205.61117673200934,0.9473965895744649,0.22283335810911253
003/003,6,7,172.6814635494099,0.9559994647980852,0.34963579604578565
003/003,6,8,203.90743799916484,0.9472727002423276,0.23056340121896834
003/003,6,9,203.97540967486916,0.9478723246098725,0.22907685446707304
003/003,7,0,220.76038433259976,0.9409246108636078,0.12814033001337888
003/003,7,1,221.2978327038775,0.9395271391970981,0.13824884792626724
003/003,7,2,221.63057233834095,0.9410435446224596,0.13914077597740448
003/003,7,3,225.26425451366805,0.93909600432126,0.1278430206629999
003/003,7,4,225.07208441545163,0.9409890333163192,0.12739705663743128
003/003,7,5,222.63621283654462,0.941216989687452,0.13542440909766618
003/003,7,6,224.34073291545752,0.9395122724772416,0.1308161141667905
003/003,7,7,224.39028127310266,0.9400821634050736,0.12918091273970567
003/003,7,8,215.5741367204953,0.9440813110464684,0.16322283335810917
003/003,7,9,223.26583248570057,0.9398938516202247,0.13096476884198005
003/003,8,0,222.31128728016148,0.936167260509532,0.10123383380407314
003/003,8,1,233.19495400073004,0.9330848939259538,0.06615133045934296
003/003,8,2,221.0538448792975,0.9358352370994039,0.08770625836182544
003/003,8,3,234.4588796053096,0.9351612791325764,0.06184034487884649
003/003,8,4,234.26834306573843,0.9343733429801827,0.05871859669986623
003/003,8,5,233.31367357061598,0.9358154148062618,0.0630295822803627
003/003,8,6,233.08518867041428,0.9360433711773947,0.062286308904415
003/003,8,7,231.2403481464155,0.9346508550841705,0.06436747435706858
003/003,8,8,234.7958539213137,0.9292790136426933,0.060502452802140616
003/003,8,9,232.9516360047199,0.9354387912365643,0.06674594916010113
003/003,9,0,230.3883149269683,0.934066097436482,0.038650215549279054
003/003,9,1,233.44648893309403,0.9349432339080146,0.0370150141221941
003/003,9,2,229.56718242199716,0.9353991466502802,0.03954214360041619
003/003,9,3,221.73577688017664,0.9376093323356113,0.08547643823398243
003/003,9,4,231.91924125275173,0.928956901379136,0.039988107625984814
003/003,9,5,230.24125787092342,0.9318509561778654,0.04206927307863828
003/003,9,6,230.01142102751257,0.9350076563607261,0.039988107625984814
003/003,9,7,227.58407196154272,0.9350076563607261,0.04920469748773604
003/003,9,8,223.72322111706197,0.9371435084467746,0.07269213616768244
003/003,9,9,225.99099669847067,0.9365141506395167,0.06317823695555225
